pedido_id,data,ano,mes,estado,regiao,cidade,canal,categoria,marca,produto,preco_unitario,quantidade,desconto,receita,custo,lucro,margem_pct,ano_mes,trimestre
P2310-01695,2023-10-12,2023,10,RS,Sul,Caxias do Sul,E-commerce,TVs & Áudio,Vertex,Vertex OLED 55,4115.48,1,0.072,3820.96,2210.01,1610.95,42.16,2023-10,2023Q4
P2303-01696,2023-03-03,2023,3,DF,Centro-Oeste,Brasília,Parceiros B2B,Acessórios,Pulse,Pulse Fit,329.98,1,0.034,318.64,152.5,166.14,52.14,2023-03,2023Q1
P2301-01697,2023-01-24,2023,1,SP,Sudeste,Campinas,E-commerce,Acessórios,Photon,Photon Keyboard,207.01,1,0.146,176.84,89.8,87.04,49.22,2023-01,2023Q1
P2304-01698,2023-04-26,2023,4,SP,Sudeste,São Paulo,E-commerce,Smartphones,Orion,Orion Horizon,2749.45,2,0.028,5346.15,2994.09,2352.06,44.0,2023-04,2023Q2
P2412-01699,2024-12-10,2024,12,RJ,Sudeste,Niterói,E-commerce,Notebooks,Nimbus,Nimbus Go,3992.42,1,0.055,3771.8,2237.83,1533.98,40.67,2024-12,2024Q4
P2402-01700,2024-02-15,2024,2,SP,Sudeste,São Paulo,Parceiros B2B,TVs & Áudio,Lumina,Lumina Vision 50,2583.52,1,0.012,2551.49,1489.65,1061.84,41.62,2024-02,2024Q1
P2412-01701,2024-12-12,2024,12,RS,Sul,Pelotas,E-commerce,Notebooks,Nimbus,Nimbus Studio,3883.66,5,0.099,17504.01,11742.52,5761.49,32.92,2024-12,2024Q4
P2311-01702,2023-11-22,2023,11,SP,Sudeste,Santos,E-commerce,Acessórios,Volt,Volt Power Hub,186.98,1,0.119,164.74,87.69,77.05,46.77,2023-11,2023Q4
P2309-01703,2023-09-04,2023,9,SP,Sudeste,Santos,Marketplace,Gaming & Consoles,Arcade,Arcade Elite,3469.28,1,0.132,3012.41,1899.07,1113.33,36.96,2023-09,2023Q3
P2401-01704,2024-01-07,2024,1,SC,Sul,Blumenau,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,363.47,1,0.0,363.47,180.15,183.32,50.44,2024-01,2024Q1
P2311-01705,2023-11-27,2023,11,RJ,Sudeste,Volta Redonda,Marketplace,Smartphones,Nova Mobile,Nova One,2614.89,1,0.069,2434.24,1456.83,977.41,40.15,2023-11,2023Q4
P2304-01706,2023-04-03,2023,4,SC,Sul,Blumenau,E-commerce,Casa Inteligente,HomeX,HomeX Hub,674.38,1,0.086,616.42,245.51,370.91,60.17,2023-04,2023Q2
P2404-01707,2024-04-30,2024,4,MG,Sudeste,Juiz de Fora,E-commerce,Casa Inteligente,Nexa,Nexa Plug,370.79,1,0.109,330.28,149.26,181.01,54.81,2024-04,2024Q2
P2306-01708,2023-06-25,2023,6,MG,Sudeste,Belo Horizonte,Loja Física,Casa Inteligente,HomeX,HomeX Hub,660.56,3,0.1,1782.56,860.77,921.78,51.71,2023-06,2023Q2
P2404-01709,2024-04-13,2024,4,SP,Sudeste,São José dos Campos,Marketplace,Notebooks,Nimbus,Nimbus Studio,4941.48,1,0.111,4394.29,2592.48,1801.8,41.0,2024-04,2024Q2
P2405-01710,2024-05-07,2024,5,RS,Sul,Caxias do Sul,E-commerce,Acessórios,Pulse,Pulse ANC,266.12,1,0.128,232.1,104.27,127.84,55.08,2024-05,2024Q2
P2305-01711,2023-05-09,2023,5,PR,Sul,Londrina,Parceiros B2B,Smartphones,Nova Mobile,Nova Air,2237.1,1,0.033,2163.57,1162.26,1001.31,46.28,2023-05,2023Q2
P2302-01712,2023-02-25,2023,2,RS,Sul,Pelotas,E-commerce,Smartphones,Orion,Orion Pulse,2737.04,1,0.068,2549.97,1507.38,1042.59,40.89,2023-02,2023Q1
P2408-01713,2024-08-12,2024,8,SP,Sudeste,Campinas,Loja Física,Acessórios,Photon,Photon Mouse,292.89,2,0.041,561.81,246.17,315.64,56.18,2024-08,2024Q3
P2312-01714,2023-12-09,2023,12,MG,Sudeste,Juiz de Fora,Marketplace,Casa Inteligente,Nexa,Nexa Plug,439.78,2,0.113,780.26,411.49,368.77,47.26,2023-12,2023Q4
P2302-01715,2023-02-23,2023,2,RJ,Sudeste,Volta Redonda,E-commerce,TVs & Áudio,Lumina,Lumina Soundbar,2075.03,1,0.118,1830.38,1086.73,743.64,40.63,2023-02,2023Q1
P2412-01716,2024-12-29,2024,12,SP,Sudeste,Santos,Parceiros B2B,Casa Inteligente,Nexa,Nexa Thermo,427.59,1,0.014,421.76,221.04,200.72,47.59,2024-12,2024Q4
P2302-01717,2023-02-22,2023,2,RJ,Sudeste,Rio de Janeiro,E-commerce,Gaming & Consoles,Blitz,Blitz Chair,917.63,1,0.036,884.63,450.97,433.67,49.02,2023-02,2023Q1
P2406-01718,2024-06-09,2024,6,SP,Sudeste,Campinas,E-commerce,TVs & Áudio,Vertex,Vertex OLED 55,3993.12,2,0.075,7385.98,4790.65,2595.33,35.14,2024-06,2024Q2
P2412-01719,2024-12-22,2024,12,GO,Centro-Oeste,Aparecida de Goiânia,E-commerce,TVs & Áudio,Vertex,Vertex OLED 55,3814.44,5,0.048,18164.05,10181.58,7982.47,43.95,2024-12,2024Q4
P2307-01720,2023-07-12,2023,7,DF,Centro-Oeste,Ceilândia,Parceiros B2B,TVs & Áudio,Lumina,Lumina Vision 50,2429.61,1,0.0,2429.61,1336.37,1093.24,45.0,2023-07,2023Q3
P2305-01721,2023-05-01,2023,5,RJ,Sudeste,Volta Redonda,Marketplace,Notebooks,Nimbus,Nimbus Air,3979.96,1,0.121,3499.38,1832.01,1667.37,47.65,2023-05,2023Q2
P2304-01722,2023-04-15,2023,4,PE,Nordeste,Jaboatão,E-commerce,TVs & Áudio,Vertex,Vertex Beam,3277.44,2,0.145,5606.28,3261.91,2344.38,41.82,2023-04,2023Q2
P2308-01723,2023-08-29,2023,8,RJ,Sudeste,Volta Redonda,E-commerce,Smartphones,Apex,Apex S10,3774.9,1,0.045,3605.45,2307.42,1298.04,36.0,2023-08,2023Q3
P2303-01724,2023-03-30,2023,3,DF,Centro-Oeste,Ceilândia,E-commerce,Smartphones,Orion,Orion Pulse,2319.49,1,0.057,2188.35,1218.85,969.5,44.3,2023-03,2023Q1
P2406-01725,2024-06-07,2024,6,SC,Sul,Blumenau,E-commerce,Gaming & Consoles,Blitz,Blitz Chair,773.75,1,0.026,753.9,409.86,344.04,45.63,2024-06,2024Q2
P2302-01726,2023-02-26,2023,2,PR,Sul,Londrina,E-commerce,Acessórios,Pulse,Pulse ANC,296.64,1,0.129,258.31,122.65,135.66,52.52,2023-02,2023Q1
P2401-01727,2024-01-10,2024,1,SP,Sudeste,Campinas,Marketplace,Acessórios,Pulse,Pulse ANC,340.49,2,0.066,635.79,325.62,310.17,48.78,2024-01,2024Q1
P2412-01728,2024-12-30,2024,12,SC,Sul,Joinville,E-commerce,TVs & Áudio,Vertex,Vertex OLED 55,3670.67,1,0.09,3341.0,1963.61,1377.39,41.23,2024-12,2024Q4
P2409-01729,2024-09-05,2024,9,SP,Sudeste,São José dos Campos,E-commerce,TVs & Áudio,Lumina,Lumina Soundbar,2542.42,1,0.046,2425.26,1431.64,993.62,40.97,2024-09,2024Q3
P2404-01730,2024-04-10,2024,4,GO,Centro-Oeste,Goiânia,E-commerce,Notebooks,Helix,Helix Pro 16,4502.43,4,0.042,17256.86,8871.92,8384.94,48.59,2024-04,2024Q2
P2308-01731,2023-08-31,2023,8,PE,Nordeste,Recife,Loja Física,Gaming & Consoles,Arcade,Arcade One,2349.72,1,0.075,2174.61,1359.8,814.81,37.47,2023-08,2023Q3
P2404-01732,2024-04-16,2024,4,SP,Sudeste,Campinas,E-commerce,Gaming & Consoles,Blitz,Blitz Pad,990.11,1,0.089,901.79,426.86,474.93,52.67,2024-04,2024Q2
P2401-01733,2024-01-26,2024,1,SC,Sul,Joinville,Loja Física,Casa Inteligente,HomeX,HomeX Cam,569.92,1,0.055,538.51,269.78,268.73,49.9,2024-01,2024Q1
P2311-01734,2023-11-18,2023,11,SP,Sudeste,Campinas,Loja Física,Gaming & Consoles,Arcade,Arcade One,3423.77,4,0.054,12960.7,7103.07,5857.63,45.2,2023-11,2023Q4
P2304-01735,2023-04-22,2023,4,SC,Sul,Florianópolis,E-commerce,Gaming & Consoles,Arcade,Arcade One,3577.09,1,0.067,3337.15,2042.92,1294.23,38.78,2023-04,2023Q2
P2410-01736,2024-10-24,2024,10,PR,Sul,Curitiba,Loja Física,Gaming & Consoles,Arcade,Arcade One,3034.47,1,0.049,2886.59,1647.36,1239.24,42.93,2024-10,2024Q4
P2312-01737,2023-12-03,2023,12,MG,Sudeste,Uberlândia,Marketplace,Acessórios,Pulse,Pulse ANC,272.05,1,0.134,235.71,119.32,116.4,49.38,2023-12,2023Q4
P2306-01738,2023-06-09,2023,6,MG,Sudeste,Juiz de Fora,E-commerce,Casa Inteligente,Nexa,Nexa Thermo,388.58,2,0.031,752.94,309.85,443.09,58.85,2023-06,2023Q2
P2310-01739,2023-10-12,2023,10,SP,Sudeste,São Paulo,Loja Física,Smartphones,Orion,Orion Horizon,2778.39,1,0.014,2740.56,1677.78,1062.78,38.78,2023-10,2023Q4
P2311-01740,2023-11-11,2023,11,MG,Sudeste,Belo Horizonte,Loja Física,TVs & Áudio,Lumina,Lumina Vision 50,3099.08,1,0.042,2970.03,1775.04,1194.99,40.23,2023-11,2023Q4
P2409-01741,2024-09-14,2024,9,SP,Sudeste,São José dos Campos,E-commerce,Notebooks,Nimbus,Nimbus Air,3844.42,1,0.072,3566.82,2235.92,1330.9,37.31,2024-09,2024Q3
P2407-01742,2024-07-07,2024,7,RS,Sul,Porto Alegre,Loja Física,Smartphones,Apex,Apex S10,2530.95,1,0.034,2443.86,1102.39,1341.47,54.89,2024-07,2024Q3
P2408-01743,2024-08-03,2024,8,SP,Sudeste,Santos,Parceiros B2B,Notebooks,Nimbus,Nimbus Air,4002.86,1,0.029,3887.36,2275.17,1612.2,41.47,2024-08,2024Q3
P2301-01744,2023-01-11,2023,1,SP,Sudeste,Campinas,Parceiros B2B,Smartphones,Nova Mobile,Nova Air,2460.17,2,0.0,4920.34,2305.26,2615.08,53.15,2023-01,2023Q1
P2311-01745,2023-11-12,2023,11,SP,Sudeste,São José dos Campos,Marketplace,Casa Inteligente,HomeX,HomeX Sensor Pack,593.88,1,0.091,539.69,261.87,277.82,51.48,2023-11,2023Q4
P2312-01746,2023-12-21,2023,12,SP,Sudeste,São Paulo,Marketplace,Notebooks,Nimbus,Nimbus Studio,4103.5,1,0.139,3533.28,2176.68,1356.61,38.4,2023-12,2023Q4
P2301-01747,2023-01-18,2023,1,RJ,Sudeste,Rio de Janeiro,Marketplace,Notebooks,Nimbus,Nimbus Go,2879.69,3,0.15,7345.97,4803.79,2542.18,34.61,2023-01,2023Q1
P2307-01748,2023-07-28,2023,7,SC,Sul,Florianópolis,Loja Física,TVs & Áudio,Lumina,Lumina Vision 65,2607.43,1,0.014,2569.82,1597.41,972.41,37.84,2023-07,2023Q3
P2407-01749,2024-07-27,2024,7,RJ,Sudeste,Volta Redonda,Loja Física,Acessórios,Pulse,Pulse Buds,351.51,1,0.021,344.21,152.5,191.71,55.69,2024-07,2024Q3
P2304-01750,2023-04-27,2023,4,MG,Sudeste,Belo Horizonte,Loja Física,TVs & Áudio,Lumina,Lumina Vision 65,2660.75,1,0.114,2358.67,1223.61,1135.06,48.12,2023-04,2023Q2
P2402-01751,2024-02-02,2024,2,SP,Sudeste,São José dos Campos,E-commerce,Notebooks,Nimbus,Nimbus Studio,4267.35,2,0.05,8106.62,4346.26,3760.36,46.39,2024-02,2024Q1
P2306-01752,2023-06-24,2023,6,RS,Sul,Pelotas,E-commerce,Gaming & Consoles,Blitz,Blitz Pad,785.91,1,0.113,697.33,440.89,256.44,36.78,2023-06,2023Q2
P2301-01753,2023-01-12,2023,1,GO,Centro-Oeste,Aparecida de Goiânia,E-commerce,Casa Inteligente,Nexa,Nexa Thermo,372.73,1,0.128,325.03,151.61,173.43,53.36,2023-01,2023Q1
P2307-01754,2023-07-14,2023,7,MG,Sudeste,Juiz de Fora,Marketplace,TVs & Áudio,Vertex,Vertex OLED 55,3392.79,1,0.118,2992.73,1771.86,1220.87,40.79,2023-07,2023Q3
P2412-01755,2024-12-18,2024,12,SC,Sul,Florianópolis,Marketplace,Gaming & Consoles,Arcade,Arcade One,3128.16,2,0.135,5411.9,2918.28,2493.62,46.08,2024-12,2024Q4
P2408-01756,2024-08-27,2024,8,RJ,Sudeste,Niterói,E-commerce,Smartphones,Apex,Apex Neo,3402.41,1,0.096,3076.65,1649.31,1427.33,46.39,2024-08,2024Q3
P2412-01757,2024-12-08,2024,12,GO,Centro-Oeste,Goiânia,Parceiros B2B,Smartphones,Apex,Apex S10 Pro,2623.31,1,0.028,2550.26,1387.2,1163.05,45.61,2024-12,2024Q4
P2312-01758,2023-12-25,2023,12,RJ,Sudeste,Rio de Janeiro,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,359.46,1,0.055,339.63,145.03,194.61,57.3,2023-12,2023Q4
P2304-01759,2023-04-06,2023,4,BA,Nordeste,Vitória da Conquista,E-commerce,TVs & Áudio,Lumina,Lumina Soundbar,2266.76,1,0.094,2054.47,1109.57,944.9,45.99,2023-04,2023Q2
P2402-01760,2024-02-14,2024,2,SP,Sudeste,São Paulo,Loja Física,Gaming & Consoles,Blitz,Blitz Headset,704.27,1,0.087,642.93,355.4,287.53,44.72,2024-02,2024Q1
P2312-01761,2023-12-05,2023,12,RS,Sul,Porto Alegre,Marketplace,Smartphones,Apex,Apex Neo,3070.94,1,0.094,2781.72,1652.82,1128.9,40.58,2023-12,2023Q4
P2409-01762,2024-09-26,2024,9,SP,Sudeste,São Paulo,E-commerce,Smartphones,Nova Mobile,Nova One,2324.76,1,0.032,2251.13,1202.12,1049.02,46.6,2024-09,2024Q3
P2303-01763,2023-03-27,2023,3,PR,Sul,Maringá,Loja Física,TVs & Áudio,Lumina,Lumina Vision 65,2357.32,1,0.023,2302.16,1292.41,1009.75,43.86,2023-03,2023Q1
P2312-01764,2023-12-25,2023,12,SP,Sudeste,Santos,Marketplace,Notebooks,Nimbus,Nimbus Studio,3485.83,2,0.142,5979.23,3169.66,2809.57,46.99,2023-12,2023Q4
P2305-01765,2023-05-07,2023,5,MG,Sudeste,Belo Horizonte,Marketplace,Smartphones,Apex,Apex S10,2634.28,1,0.168,2192.28,1406.08,786.2,35.86,2023-05,2023Q2
P2309-01766,2023-09-12,2023,9,SP,Sudeste,Campinas,Marketplace,Casa Inteligente,HomeX,HomeX Sensor Pack,513.83,1,0.1,462.57,225.42,237.15,51.27,2023-09,2023Q3
P2407-01767,2024-07-10,2024,7,SP,Sudeste,Santos,Loja Física,Gaming & Consoles,Blitz,Blitz Chair,882.81,1,0.08,811.84,514.86,296.98,36.58,2024-07,2024Q3
P2312-01768,2023-12-18,2023,12,GO,Centro-Oeste,Goiânia,Marketplace,Gaming & Consoles,Arcade,Arcade Elite,3189.29,1,0.134,2761.42,1596.59,1164.83,42.18,2023-12,2023Q4
P2310-01769,2023-10-17,2023,10,RJ,Sudeste,Rio de Janeiro,E-commerce,Acessórios,Pulse,Pulse Fit,297.46,1,0.09,270.7,142.59,128.12,47.33,2023-10,2023Q4
P2310-01770,2023-10-29,2023,10,MG,Sudeste,Juiz de Fora,E-commerce,Acessórios,Pulse,Pulse Fit,337.55,1,0.142,289.58,157.16,132.42,45.73,2023-10,2023Q4
P2312-01771,2023-12-08,2023,12,PR,Sul,Londrina,E-commerce,Gaming & Consoles,Blitz,Blitz Headset,1101.18,1,0.061,1033.88,524.61,509.26,49.26,2023-12,2023Q4
P2408-01772,2024-08-15,2024,8,RS,Sul,Caxias do Sul,E-commerce,Acessórios,Pulse,Pulse Buds,359.81,1,0.132,312.26,140.91,171.36,54.88,2024-08,2024Q3
P2410-01773,2024-10-27,2024,10,RS,Sul,Caxias do Sul,E-commerce,Smartphones,Nova Mobile,Nova One,1929.85,1,0.126,1687.0,1111.19,575.81,34.13,2024-10,2024Q4
P2412-01774,2024-12-06,2024,12,PR,Sul,Curitiba,Loja Física,Smartphones,Nova Mobile,Nova Max,2217.06,1,0.057,2090.34,1438.88,651.46,31.17,2024-12,2024Q4
P2408-01775,2024-08-16,2024,8,PR,Sul,Curitiba,E-commerce,Casa Inteligente,HomeX,HomeX Cam,579.96,1,0.079,533.91,238.44,295.47,55.34,2024-08,2024Q3
P2309-01776,2023-09-06,2023,9,PR,Sul,Curitiba,Marketplace,Smartphones,Nova Mobile,Nova Max,2199.91,3,0.105,5904.06,3547.55,2356.51,39.91,2023-09,2023Q3
P2406-01777,2024-06-04,2024,6,DF,Centro-Oeste,Brasília,Marketplace,Casa Inteligente,Nexa,Nexa Lamp,446.42,2,0.175,736.49,397.02,339.47,46.09,2024-06,2024Q2
P2311-01778,2023-11-25,2023,11,RJ,Sudeste,Niterói,Parceiros B2B,Smartphones,Apex,Apex S10 Pro,3409.94,1,0.102,3062.28,1857.44,1204.84,39.34,2023-11,2023Q4
P2307-01779,2023-07-24,2023,7,MG,Sudeste,Belo Horizonte,E-commerce,Acessórios,Photon,Photon Keyboard,220.22,2,0.064,412.46,196.65,215.81,52.32,2023-07,2023Q3
P2409-01780,2024-09-23,2024,9,RS,Sul,Pelotas,E-commerce,Acessórios,Photon,Photon Mouse,258.64,4,0.101,930.13,486.47,443.66,47.7,2024-09,2024Q3
P2302-01781,2023-02-05,2023,2,BA,Nordeste,Vitória da Conquista,E-commerce,Casa Inteligente,Nexa,Nexa Plug,420.35,1,0.061,394.75,236.85,157.9,40.0,2023-02,2023Q1
P2411-01782,2024-11-03,2024,11,PE,Nordeste,Jaboatão,E-commerce,TVs & Áudio,Lumina,Lumina Soundbar,2548.45,2,0.111,4531.72,2544.32,1987.4,43.86,2024-11,2024Q4
P2312-01783,2023-12-10,2023,12,SP,Sudeste,Campinas,Marketplace,Gaming & Consoles,Arcade,Arcade One,3004.83,1,0.088,2741.7,1406.99,1334.71,48.68,2023-12,2023Q4
P2404-01784,2024-04-27,2024,4,SC,Sul,Florianópolis,E-commerce,Casa Inteligente,Nexa,Nexa Plug,343.96,2,0.056,649.46,387.81,261.65,40.29,2024-04,2024Q2
P2405-01785,2024-05-14,2024,5,RJ,Sudeste,Volta Redonda,E-commerce,Acessórios,Pulse,Pulse Fit,302.67,1,0.085,277.06,158.81,118.25,42.68,2024-05,2024Q2
P2410-01786,2024-10-29,2024,10,RJ,Sudeste,Volta Redonda,E-commerce,Casa Inteligente,HomeX,HomeX Hub,752.53,2,0.127,1314.29,612.51,701.78,53.4,2024-10,2024Q4
P2404-01787,2024-04-26,2024,4,RS,Sul,Pelotas,Marketplace,Smartphones,Nova Mobile,Nova Max,2327.36,1,0.111,2068.6,1423.96,644.64,31.16,2024-04,2024Q2
P2404-01788,2024-04-09,2024,4,PE,Nordeste,Jaboatão,Loja Física,Smartphones,Apex,Apex S10,3509.45,5,0.053,16611.52,8449.9,8161.63,49.13,2024-04,2024Q2
P2303-01789,2023-03-02,2023,3,RJ,Sudeste,Volta Redonda,Parceiros B2B,TVs & Áudio,Lumina,Lumina Vision 65,2503.2,1,0.0,2503.2,1463.57,1039.63,41.53,2023-03,2023Q1
P2401-01790,2024-01-18,2024,1,RJ,Sudeste,Niterói,E-commerce,TVs & Áudio,Vertex,Vertex OLED 65,3347.84,1,0.064,3134.94,1663.42,1471.52,46.94,2024-01,2024Q1
P2305-01791,2023-05-07,2023,5,DF,Centro-Oeste,Brasília,Loja Física,Acessórios,Photon,Photon Mouse,288.13,1,0.06,270.89,134.93,135.96,50.19,2023-05,2023Q2
P2407-01792,2024-07-10,2024,7,DF,Centro-Oeste,Taguatinga,Marketplace,Notebooks,Nimbus,Nimbus Studio,4221.57,1,0.162,3536.26,2040.18,1496.08,42.31,2024-07,2024Q3
P2401-01793,2024-01-12,2024,1,BA,Nordeste,Vitória da Conquista,Parceiros B2B,TVs & Áudio,Vertex,Vertex OLED 65,2885.25,1,0.044,2756.9,1564.25,1192.65,43.26,2024-01,2024Q1
P2405-01794,2024-05-30,2024,5,BA,Nordeste,Feira de Santana,Parceiros B2B,Notebooks,Helix,Helix Flex,5446.39,1,0.04,5225.85,2385.43,2840.43,54.35,2024-05,2024Q2
P2302-01795,2023-02-08,2023,2,MG,Sudeste,Juiz de Fora,E-commerce,Gaming & Consoles,Arcade,Arcade One,3604.4,1,0.065,3369.52,2087.09,1282.42,38.06,2023-02,2023Q1
P2303-01796,2023-03-17,2023,3,BA,Nordeste,Salvador,Loja Física,Casa Inteligente,HomeX,HomeX Hub,612.61,1,0.063,573.93,286.92,287.01,50.01,2023-03,2023Q1
P2406-01797,2024-06-25,2024,6,RJ,Sudeste,Niterói,E-commerce,Acessórios,Pulse,Pulse Buds,314.14,1,0.094,284.46,141.39,143.07,50.3,2024-06,2024Q2
P2303-01798,2023-03-06,2023,3,PE,Nordeste,Olinda,Marketplace,Notebooks,Nimbus,Nimbus Studio,3676.51,3,0.111,9805.17,6221.08,3584.1,36.55,2023-03,2023Q1
P2303-01799,2023-03-06,2023,3,PR,Sul,Maringá,Loja Física,Smartphones,Nova Mobile,Nova One,2268.57,1,0.05,2154.12,1116.09,1038.03,48.19,2023-03,2023Q1
P2301-01800,2023-01-12,2023,1,SP,Sudeste,São José dos Campos,Parceiros B2B,Acessórios,Volt,Volt Charger,194.16,1,0.054,183.72,94.18,89.54,48.74,2023-01,2023Q1
P2412-01801,2024-12-06,2024,12,RJ,Sudeste,Volta Redonda,E-commerce,Casa Inteligente,Nexa,Nexa Lamp,374.33,1,0.119,329.71,175.54,154.17,46.76,2024-12,2024Q4
P2407-01802,2024-07-10,2024,7,SC,Sul,Florianópolis,E-commerce,Acessórios,Pulse,Pulse Fit,374.14,1,0.034,361.55,201.6,159.94,44.24,2024-07,2024Q3
P2310-01803,2023-10-02,2023,10,GO,Centro-Oeste,Goiânia,E-commerce,TVs & Áudio,Vertex,Vertex Beam,3564.73,3,0.069,9956.28,5418.51,4537.77,45.58,2023-10,2023Q4
P2308-01804,2023-08-24,2023,8,DF,Centro-Oeste,Taguatinga,Loja Física,Smartphones,Apex,Apex S10 Pro,3180.79,2,0.023,6216.1,3351.79,2864.31,46.08,2023-08,2023Q3
P2309-01805,2023-09-30,2023,9,SP,Sudeste,Santos,E-commerce,Smartphones,Orion,Orion Horizon,3018.27,1,0.029,2931.4,1967.3,964.1,32.89,2023-09,2023Q3
P2408-01806,2024-08-07,2024,8,SP,Sudeste,São José dos Campos,E-commerce,TVs & Áudio,Lumina,Lumina Vision 65,2379.29,1,0.062,2230.77,1350.62,880.14,39.45,2024-08,2024Q3
P2405-01807,2024-05-15,2024,5,SP,Sudeste,Campinas,Parceiros B2B,Acessórios,Volt,Volt Cable Kit,194.13,1,0.064,181.73,109.73,72.0,39.62,2024-05,2024Q2
P2306-01808,2023-06-03,2023,6,RS,Sul,Caxias do Sul,E-commerce,Smartphones,Nova Mobile,Nova Max,2236.71,1,0.087,2041.32,1069.45,971.87,47.61,2023-06,2023Q2
P2305-01809,2023-05-25,2023,5,DF,Centro-Oeste,Taguatinga,E-commerce,TVs & Áudio,Vertex,Vertex OLED 65,3476.5,2,0.085,6363.08,3714.57,2648.51,41.62,2023-05,2023Q2
P2303-01810,2023-03-28,2023,3,MG,Sudeste,Juiz de Fora,Loja Física,TVs & Áudio,Vertex,Vertex OLED 65,3745.58,1,0.025,3652.54,2333.87,1318.67,36.1,2023-03,2023Q1
P2405-01811,2024-05-14,2024,5,PR,Sul,Maringá,Loja Física,Casa Inteligente,HomeX,HomeX Hub,716.8,3,0.05,2043.79,1006.87,1036.92,50.74,2024-05,2024Q2
P2407-01812,2024-07-31,2024,7,RS,Sul,Porto Alegre,Marketplace,Notebooks,Nimbus,Nimbus Air,3920.55,1,0.094,3550.21,1742.13,1808.08,50.93,2024-07,2024Q3
P2307-01813,2023-07-31,2023,7,PE,Nordeste,Olinda,Parceiros B2B,Acessórios,Volt,Volt Charger,158.33,1,0.0,158.33,85.41,72.92,46.05,2023-07,2023Q3
P2301-01814,2023-01-20,2023,1,MG,Sudeste,Juiz de Fora,Marketplace,Smartphones,Apex,Apex S10,3427.12,2,0.115,6065.94,3961.26,2104.67,34.7,2023-01,2023Q1
P2303-01815,2023-03-15,2023,3,MG,Sudeste,Juiz de Fora,Parceiros B2B,Smartphones,Nova Mobile,Nova One,2131.43,1,0.033,2060.67,1293.54,767.13,37.23,2023-03,2023Q1
P2412-01816,2024-12-13,2024,12,DF,Centro-Oeste,Taguatinga,E-commerce,Casa Inteligente,HomeX,HomeX Sensor Pack,678.68,2,0.173,1122.68,562.94,559.73,49.86,2024-12,2024Q4
P2308-01817,2023-08-23,2023,8,SP,Sudeste,Santos,E-commerce,TVs & Áudio,Lumina,Lumina Vision 65,2440.89,1,0.118,2153.58,1256.71,896.88,41.65,2023-08,2023Q3
P2408-01818,2024-08-03,2024,8,SP,Sudeste,São José dos Campos,Parceiros B2B,Casa Inteligente,HomeX,HomeX Sensor Pack,657.72,2,0.034,1270.85,539.85,731.0,57.52,2024-08,2024Q3
P2404-01819,2024-04-17,2024,4,RS,Sul,Pelotas,Marketplace,Acessórios,Volt,Volt Power Hub,167.98,2,0.126,293.79,128.88,164.91,56.13,2024-04,2024Q2
P2310-01820,2023-10-21,2023,10,MG,Sudeste,Uberlândia,Parceiros B2B,Notebooks,Helix,Helix Pro 14,4425.63,1,0.062,4152.56,2706.66,1445.9,34.82,2023-10,2023Q4
P2306-01821,2023-06-17,2023,6,MG,Sudeste,Uberlândia,E-commerce,Casa Inteligente,HomeX,HomeX Sensor Pack,720.06,1,0.075,665.99,308.72,357.27,53.64,2023-06,2023Q2
P2304-01822,2023-04-15,2023,4,RJ,Sudeste,Niterói,Loja Física,Gaming & Consoles,Blitz,Blitz Chair,901.06,2,0.053,1705.78,877.48,828.3,48.56,2023-04,2023Q2
P2404-01823,2024-04-09,2024,4,RS,Sul,Porto Alegre,Parceiros B2B,Smartphones,Nova Mobile,Nova One,2138.19,1,0.049,2033.92,1259.71,774.21,38.06,2024-04,2024Q2
P2408-01824,2024-08-07,2024,8,RS,Sul,Pelotas,Marketplace,Acessórios,Pulse,Pulse ANC,289.82,1,0.149,246.55,133.93,112.62,45.68,2024-08,2024Q3
P2405-01825,2024-05-02,2024,5,SC,Sul,Blumenau,Parceiros B2B,Smartphones,Orion,Orion Horizon,2073.34,1,0.058,1953.85,1116.56,837.29,42.85,2024-05,2024Q2
P2401-01826,2024-01-29,2024,1,PR,Sul,Curitiba,E-commerce,Notebooks,Nimbus,Nimbus Air,4181.46,1,0.045,3993.31,1913.79,2079.52,52.08,2024-01,2024Q1
P2302-01827,2023-02-08,2023,2,SC,Sul,Florianópolis,Marketplace,Smartphones,Nova Mobile,Nova Max,2299.2,1,0.086,2101.31,1031.9,1069.42,50.89,2023-02,2023Q1
P2412-01828,2024-12-13,2024,12,RJ,Sudeste,Volta Redonda,Loja Física,Acessórios,Volt,Volt Cable Kit,204.77,1,0.034,197.79,99.85,97.93,49.52,2024-12,2024Q4
P2408-01829,2024-08-25,2024,8,SC,Sul,Joinville,E-commerce,Notebooks,Helix,Helix Flex,3742.29,1,0.067,3490.31,2040.61,1449.7,41.53,2024-08,2024Q3
P2308-01830,2023-08-21,2023,8,RJ,Sudeste,Rio de Janeiro,Marketplace,Notebooks,Nimbus,Nimbus Go,4218.43,1,0.124,3693.72,2242.02,1451.69,39.3,2023-08,2023Q3
P2412-01831,2024-12-20,2024,12,SP,Sudeste,Campinas,Parceiros B2B,Smartphones,Nova Mobile,Nova One,2469.08,1,0.028,2401.15,1417.43,983.73,40.97,2024-12,2024Q4
